,Artiste,Titre,Catégorie,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1395, Def Leppard,Pour Some Sugar On Me - Remastered 2017,rock,0PdM2a6oIjqepoEfcJo0RO,0.267,0.953,1,-4.899,0,0.096,0.00211,0.0,0.283,0.568,84.989,267307,4
1399, Kip Macklejar,Headphones On,rock,2NWNUHgKs2y7FP35PFWX1t,0.474,0.697,9,-10.777,1,0.0539,0.00138,7.3e-05,0.317,0.62,169.887,278029,4
1400, Jason Charles Miller,Better Late Than Never,rock,1F14ap36cBYGZWfRB44eZS,0.485,0.62,0,-8.359,1,0.0346,0.0103,0.0,0.452,0.726,134.035,217612,4
1401, Bob Seger,Old Time Rock & Roll,rock,5EOoMWIB9iK4ZpcSex9Ec7,0.714,0.937,6,-2.947,1,0.0399,0.206,0.0,0.0731,0.964,124.13,194147,4
1402, The Band,The Weight - Remastered,rock,0P7DoyGrr4Wp9w5TotEtUC,0.63,0.551,9,-9.28,1,0.0549,0.373,5.75e-05,0.103,0.518,143.868,274493,4
1403, Men At Work,Down Under,rock,46RVKt5Edm1zl0rXhPJZxz,0.746,0.79,11,-4.7,0,0.0257,0.0485,0.0261,0.0534,0.891,107.231,220867,4
1404, The Olson Brothers Band,LoveLife,rock,69opQnVeWf8i2vEz2mh8lN,0.661,0.438,9,-10.348,0,0.027,0.119,0.00238,0.0642,0.389,98.067,265560,3
1405, Southbound Beretta,Stone Cold Fox,rock,5zEkGKFVrrTpqRCoQtXnq7,0.472,0.9,6,-7.638,1,0.055,0.000179,0.0,0.106,0.598,137.991,225432,4
1406, Eric Carmen,"Hungry Eyes - From ""Dirty Dancing"" Soundtrack",rock,31H6au3jhblhr6MMJiXnCq,0.712,0.549,5,-9.484,1,0.0254,0.011,0.0,0.118,0.552,109.882,251067,4
1407, The Kim White Band,Vinyl Is My Bible,rock,5Dr2uTnzNyqgQdACSC7WCk,0.725,0.744,7,-6.571,0,0.0575,0.00717,6.83e-05,0.0866,0.739,103.996,243606,4
1408, Southbound Beretta,Letter From a Racketeer,rock,5ELukLnWwvHXOk3GmSGI0E,0.4,0.932,8,-7.815,1,0.0937,0.000214,0.0,0.141,0.604,171.929,243140,4
1409, Pantera,Walk,rock,7fcfNW0XxTWlwVlftzfDOR,0.43,0.704,1,-8.008,0,0.0804,0.000155,0.00221,0.0933,0.703,118.242,315120,4
1410, Steely Dan,Reelin' In The Years,rock,1I7zHEdDx8Ny5RxzYPqsU2,0.523,0.758,2,-9.81,1,0.0403,0.133,0.0,0.0952,0.766,135.437,277267,4
1411, Joe McLeod,Everybody's Got Somebody - Live,rock,4TnmsyDe8Dx6tiFYwrrJen,0.394,0.33,7,-11.932,1,0.0331,0.785,0.0,0.113,0.345,167.218,193536,4
1412, Eric Scott,Peace Bomb,rock,6AmuOstEk9L6cbjdbhALp0,0.779,0.615,10,-7.162,1,0.0465,0.419,0.0,0.103,0.645,95.967,230049,4
1413, Twisted Sister,We're Not Gonna Take It,rock,1hlveB9M6ijHZRbzZ2teyh,0.502,0.924,4,-6.299,1,0.0503,0.0127,0.0,0.162,0.922,149.186,219667,4
1414, Daryl Hall & John Oates,Rich Girl,rock,0qRR9d89hIS0MHRkQ0ejxX,0.573,0.683,5,-6.644,1,0.176,0.461,0.0,0.0935,0.817,169.519,142787,4
1415, Tiny Fighter,Hold On,rock,1Ag90t0wK09uN9W57W52lH,0.414,0.536,7,-7.54,1,0.0326,0.00565,0.0,0.111,0.159,73.528,169796,4
1416, Evan Troop,My Time Now,rock,1gcFN5EC67HCTLPYI0znm3,0.522,0.854,2,-4.665,1,0.0365,0.000332,0.000234,0.192,0.254,90.045,227075,4
1417, Alice In Chains,Man in the Box,rock,6gZVQvQZOFpzIy3HblJ20F,0.355,0.791,8,-7.565,1,0.0453,0.00045,0.0,0.0969,0.758,106.392,285200,4
