,Artiste,Titre,Catégorie,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0, Nelly City Spud,Ride Wit Me,rnb,06iMqWThw4w8fTFyccvOwr,0.854,0.692,7,-6.625,1,0.0479,0.0668,0.0,0.247,0.753,101.865,291782,4
4, Blackstreet Dr. Dre Queen Pen,No Diggity,rnb,6MdqqkQ8sSC0WB4i8PyRuQ,0.867,0.646,1,-4.674,0,0.288,0.303,0.0,0.279,0.67,88.634,304600,4
8, Mary J. Blige,Family Affair,rnb,3aw9iWUQ3VrPQltgwvN9Xu,0.911,0.551,8,-3.75,0,0.0449,0.132,4.12e-05,0.0863,0.969,92.887,265867,4
17, 50 Cent,In Da Club,rnb,7iL6o9tox1zgHpKUfh9vuC,0.899,0.713,6,-2.752,0,0.366,0.255,0.0,0.0708,0.777,90.051,193467,4
18, Warren G Nate Dogg,Regulate,rnb,7nYvUtkQMx1v80S2FH2s9J,0.849,0.521,11,-12.999,0,0.216,0.304,1.65e-06,0.115,0.763,95.265,248867,4
22, Busta Rhymes Mariah Carey Flipmode Squad,I Know What You Want (feat. Flipmode Squad),rnb,0YImOCkIJ2PWhCXaURCZnY,0.648,0.759,6,-4.315,1,0.306,0.0142,0.0,0.648,0.518,85.996,324307,4
26, Diddy Ginuwine Loon Mario Winans,"I Need a Girl (Pt. 2) [feat. Loon, Ginuwine & Mario Winans]",rnb,6Wt5QBzHp9vdSLAFlvdnDQ,0.713,0.471,1,-7.392,0,0.483,0.421,0.0,0.0308,0.781,199.765,285587,4
27, The Notorious B.I.G.,Hypnotize - 2014 Remaster,rnb,7KwZNVEaqikRSBSpyhXK2j,0.901,0.697,9,-3.439,1,0.28,0.145,0.0,0.287,0.67,93.941,229827,4
28, Nelly Kelly Rowland,Dilemma,rnb,0ARK753YaiJbpLUk7z5yIM,0.727,0.552,2,-8.074,0,0.14,0.227,0.000164,0.198,0.607,168.189,289160,4
29, Ja Rule Ashanti,Always On Time,rnb,4hrae8atte6cRlSC9a7VCO,0.839,0.706,5,-6.104,0,0.199,0.208,0.0,0.242,0.839,96.673,245133,4
33, Next,Too Close,rnb,5IFCyWplye09HytIP80RCF,0.847,0.402,7,-9.952,1,0.0641,0.0118,0.0,0.283,0.752,99.693,259440,4
37, Usher,U Remind Me,rnb,2QsZVnbWVSjKMXK6K3uRBL,0.657,0.629,6,-4.938,1,0.0782,0.194,0.0,0.254,0.726,93.985,266893,4
62, Coolio L.V.,Gangsta's Paradise,rnb,7lQWRAjyhTpCWFC0jmclT4,0.647,0.514,8,-10.05,1,0.0593,0.0655,0.0,0.398,0.387,79.974,240693,4
63, OutKast,Ms. Jackson,rnb,0I3q5fE6wg7LIfHGngUTnV,0.843,0.806,4,-5.946,0,0.269,0.143,0.0,0.0771,0.613,94.948,270507,4
64, Diddy Usher Loon,I Need a Girl (Pt. 1) [feat. Usher & Loon],rnb,7lVNTXkI3cHFvcXiI8damb,0.66,0.707,6,-5.758,1,0.208,0.397,0.0,0.211,0.761,89.279,268800,4
68, Ginuwine,Pony,rnb,6mz1fBdKATx6qP4oP1I65G,0.749,0.605,8,-9.359,0,0.086,0.00186,0.0381,0.115,0.966,142.024,251733,4
72, Sisqo,Thong Song,rnb,5Mmk2ii6laakqfeCT7OnVD,0.706,0.888,2,-6.959,1,0.0654,0.119,9.64e-05,0.07,0.714,121.549,253733,4
76, Jennifer Lopez Jadakiss Styles P,Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix,rnb,7LqjznQwfrax7MjQXmxqdQ,0.845,0.768,6,-5.448,1,0.188,0.00733,5.04e-06,0.0575,0.96,100.0,187840,4
80, Ashanti,Foolish,rnb,6zMUIb4uce1CzpbjR3vMdN,0.665,0.695,0,-5.763,1,0.0532,0.347,0.0,0.106,0.707,90.119,227387,4
84, Jagged Edge Nelly,Where the Party At (feat. Nelly),rnb,5mNV8Mz59bzyuQ53gTw0c0,0.596,0.661,5,-6.239,0,0.226,0.31,0.0,0.0847,0.86,129.491,232573,5
93, Jennifer Lopez Ja Rule,I'm Real (feat. Ja Rule) - Murder Remix,rnb,09SzV1FREkpsd2XSjTr03h,0.703,0.596,11,-7.669,0,0.149,0.216,0.0,0.0663,0.57,83.529,258667,4
94, Bow Wow Ciara,Like You (feat. Ciara),rnb,3jEqrIfwKO0M8ALu3TGilF,0.714,0.6,6,-8.365,1,0.0876,0.0465,0.0,0.0646,0.504,82.017,205840,4
95, Usher,You Make Me Wanna...,rnb,47TqCCnEliDp8NRDyIQoQq,0.761,0.639,5,-7.577,0,0.0539,0.0359,0.0,0.0945,0.922,164.088,219120,4
99, Craig David,7 Days,rnb,0gPQTLaqHDgdupKEok7J2x,0.659,0.812,4,-7.499,0,0.0487,0.23,0.0,0.0951,0.888,83.013,235133,4
108, Destiny's Child,Say My Name,rnb,7H6ev70Weq6DdpZyyTmUXk,0.713,0.678,5,-3.525,0,0.102,0.273,0.0,0.149,0.734,138.009,271333,4
117, Ja Rule Ashanti,Mesmerize,rnb,5dL5jv5GSCRoDhTtnY8maL,0.769,0.646,1,-6.653,1,0.199,0.0566,0.0,0.406,0.433,90.079,278693,4
121, Baby Bash Frankie J,Suga Suga,rnb,6Nq5lE0CeOAAAqN4qhkbZU,0.662,0.748,5,-3.041,0,0.268,0.688,8.43e-06,0.0841,0.535,82.331,239027,4
125, TLC,No Scrubs,rnb,1KGi9sZVMeszgZOWivFpxs,0.743,0.675,8,-4.267,0,0.0953,0.0251,0.000717,0.0685,0.59,92.909,214400,4
129, DMX,Party Up,rnb,0LWkaEyQRkF0XAms8Bg1fC,0.51,0.931,11,-3.302,1,0.347,0.0738,0.0,0.5,0.53,201.936,268867,4
130, Jamelia,Superstar,rnb,3oobWqIgYrSRg18uqRuPIF,0.801,0.645,1,-6.93,1,0.0356,0.0457,0.0,0.0357,0.824,110.01,215480,4
131, 112 Diddy,Peaches & Cream (feat. P. Diddy),rnb,6iajHa34cSiD5s42Cq9miJ,0.706,0.537,7,-6.347,1,0.348,0.00887,0.0,0.129,0.775,203.746,225947,4
132, 50 Cent Nate Dogg,21 Questions,rnb,41bIQPBE1lFN0mmw6Lmssz,0.576,0.807,6,-3.908,0,0.317,0.353,0.000363,0.0512,0.908,90.012,224427,4
133, Brandy Monica,The Boy Is Mine,rnb,6sHsXIJoEN5JpdkGMQDJxt,0.704,0.707,1,-6.537,0,0.0391,0.539,0.00106,0.318,0.761,93.145,294787,4
142, Nelly,Hot In Herre,rnb,04KTF78FFg8sOHC1BADqbY,0.956,0.745,11,-4.753,0,0.12,0.206,0.0,0.0615,0.912,107.075,228240,4
143, Timbaland Justin Timberlake Nelly Furtado,Give It To Me,rnb,2KjpWqvSKoQh0XIAywplWn,0.978,0.687,8,-4.957,1,0.0646,0.197,0.00708,0.107,0.784,110.616,234057,4
144, Eve,Who's That Girl?,rnb,3uVE5vLKkigiWBOQEgmdDk,0.77,0.86,6,-3.702,1,0.19,0.0159,0.000713,0.0682,0.547,96.428,281907,4
145, Blu Cantrell,Hit 'Em Up Style (Oops!),rnb,4zYTZvtcww7OWKie7fxA9E,0.667,0.773,5,-4.983,0,0.0586,0.201,0.0,0.404,0.667,89.976,250707,4
154, Pras Ol' Dirty Bastard Mýa,Ghetto Supastar (That is What You Are) (feat. Ol' Dirty Bastard & Mýa),rnb,31bf9SEOppLU6lQ85d8om6,0.818,0.653,1,-8.396,1,0.204,0.0335,5.46e-06,0.22,0.533,99.931,261133,4
163, Ashanti,Rock Wit U (Awww Baby),rnb,6pWzCKTrKrwbUPzY8RLCoP,0.71,0.797,4,-3.006,0,0.0582,0.408,0.0,0.16,0.849,94.998,209120,4
164, Cassie,Me & U,rnb,7k6IzwMGpxnRghE7YosnXT,0.803,0.454,8,-4.802,0,0.0294,0.352,0.0,0.0655,0.739,99.99,192213,4
168, Usher Alicia Keys,My Boo,rnb,68vgtRHr7iZHpzGpon6Jlo,0.662,0.507,5,-8.238,1,0.118,0.257,0.0,0.0465,0.676,86.412,223440,4
177, Ja Rule Case,Livin' It Up,rnb,52gqeRlrBE7hqMlRxEsi6y,0.874,0.768,6,-4.086,1,0.311,0.0554,0.0,0.041,0.636,106.095,257067,4
178, Jennifer Lopez,Love Don't Cost a Thing,rnb,4LK1zq7x8Xxd7Nc32anUoH,0.774,0.835,4,-5.137,0,0.0797,0.00265,3.14e-06,0.252,0.655,97.503,222693,4
179, Montell Jordan,Get It On Tonite,rnb,3ii5VBrIXJXKEVkjx1IAdP,0.813,0.491,10,-9.923,0,0.077,0.241,4.61e-05,0.0817,0.868,99.008,276267,4
180, Sean Paul Beyoncé,Baby Boy (feat. Beyoncé ),rnb,29LHe8kG3PraghUZOZYsw4,0.658,0.621,1,-5.725,1,0.231,0.0667,2.46e-06,0.142,0.817,91.267,246707,4
184, 112,Dance With Me,rnb,6uRH1qMz30ZBwwUG0IYE5s,0.912,0.511,9,-6.365,1,0.203,0.0259,0.0,0.0442,0.611,101.628,231800,4
188, Ciara Missy Elliott,"One, Two Step (feat. Missy Elliott)",rnb,7uKcScNXuO3MWw6LowBjW1,0.944,0.511,5,-10.96,0,0.161,0.042,0.00107,0.0379,0.842,113.046,203787,4
189, Cam’ron Juelz Santana,Oh Boy,rnb,4gdQ8QShlC3toP9Mkc8DwB,0.754,0.767,6,-5.586,1,0.145,0.0216,0.0,0.172,0.828,83.014,204707,4
190, Ciara Petey Pablo,Goodies (feat. Petey Pablo),rnb,3dFwpxh2yH7C7p9BGEKLVB,0.826,0.647,5,-6.306,0,0.0491,0.0277,1.52e-06,0.298,0.872,102.017,223000,4
194, 50 Cent,If I Can't,rnb,6mcu7D7QuABVwUGDwovOEh,0.886,0.626,11,-2.528,0,0.277,0.265,0.0,0.024,0.856,93.989,196627,4
195, Ms. Lauryn Hill,Doo Wop (That Thing),rnb,0uEp9E98JB5awlA084uaIg,0.535,0.505,2,-8.926,0,0.245,0.0393,0.0,0.0923,0.495,99.935,320267,4
199, Usher,U Got It Bad,rnb,7J41dYQolQJEtj3UmKLu5r,0.816,0.5,1,-4.551,1,0.03,0.0227,1.53e-06,0.0733,0.649,124.037,247840,4
203, Chingy Jason Weaver,One Call Away,rnb,0UNTBB02C1aB55Fu4H63qd,0.765,0.821,4,-5.926,0,0.183,0.0918,0.0,0.217,0.962,162.519,276800,4
212, TLC,Creep,rnb,1aWV3uY3SIEZVbmv45oFWS,0.811,0.458,5,-9.688,0,0.0402,0.0193,1.41e-06,0.0526,0.797,92.94,268533,4
216, Jennifer Lopez LL Cool J,All I Have (feat. LL Cool J),rnb,2xlnEhQjSCqNPIJX42ARej,0.701,0.669,1,-5.265,1,0.107,0.271,0.0,0.158,0.446,83.066,254467,4
217, 112 The Notorious B.I.G. Mase,Only You (feat. The Notorious B.I.G. & Mase) - Bad Boy Remix,rnb,6zOg9gP62RJSsKFeOBAgvH,0.764,0.525,8,-5.969,1,0.048,0.0296,0.0,0.0993,0.787,95.813,289413,4
218, Big Pun Joe,Still Not a Player (feat. Joe) - Radio Version,rnb,3GKL13lkM5nRc4zC1lIOrR,0.9,0.619,4,-6.518,0,0.312,0.203,0.00156,0.0647,0.864,94.121,236800,4
219, Chingy Tyrese,Pullin' Me Back,rnb,5hF2LnbkpnXCkksMSeWcxZ,0.786,0.511,7,-6.66,1,0.286,0.0825,0.0,0.12,0.587,80.0,234133,4
220, Bow Wow Omarion,Let Me Hold You (feat. Omarion),rnb,1oNToERLIN71YCPLbRIQGQ,0.815,0.662,6,-8.244,1,0.199,0.0915,0.000409,0.0898,0.611,151.518,248493,4
224, Twista Kanye West Jamie Foxx,Slow Jamz (feat. Kanye West & Jamie Foxx),rnb,1boHm9rjmvzxpJASd9dnGK,0.561,0.764,2,-6.645,0,0.138,0.373,0.0,0.157,0.598,145.158,212147,4
225, Bobby V.,"Slow Down - 12"" Version",rnb,4Ilen0VxPEsVRLpnePji8P,0.568,0.732,11,-4.896,0,0.103,0.179,4.92e-06,0.401,0.626,186.048,258667,4
226, Koffee Brown,After Party,rnb,5cvMzT7kEvcxcdtcJz1vQY,0.802,0.552,5,-4.796,0,0.0503,0.0492,1.7e-06,0.0224,0.601,105.481,214560,4
227, Fat Joe Ja Rule Ashanti,What's Luv? (feat. Ja-Rule & Ashanti),rnb,2mKouqwAIdQnMP43zxR89r,0.835,0.707,8,-5.074,1,0.0598,0.0219,2.19e-05,0.108,0.919,93.955,267093,4
236, 112,Peaches & Cream,rnb,2SLZ2rX5773RS16mcqBxG7,0.677,0.52,4,-6.255,0,0.334,0.00277,0.0,0.0532,0.768,203.862,193093,4
240, B2K,Girlfriend,rnb,7ewYIt7Zp5JliAWO9aIuWN,0.684,0.552,3,-6.375,0,0.206,0.0243,0.0,0.0694,0.526,90.037,205733,4
241, B2K Diddy,"Bump, Bump, Bump (feat. P. Diddy)",rnb,75lRRdjplzfpmBjNzMPyjR,0.835,0.68,1,-6.02,0,0.21,0.1,0.0,0.049,0.889,95.508,282773,4
245, Fabolous The-Dream,Throw It In The Bag,rnb,6c0GmyBsE7mQtrVvxJaWc3,0.789,0.55,11,-7.423,0,0.0473,0.174,0.0,0.0614,0.696,172.049,231573,4
246, Fabolous Mike Shorey Lil' Mo,Can't Let You Go (feat. Mike Shorey & Lil' Mo),rnb,6lrRIfQDcikJ5y5DtyZPuJ,0.646,0.6,9,-6.569,1,0.458,0.231,0.0,0.0794,0.811,192.082,223973,4
247, Michael Jackson,P.Y.T. (Pretty Young Thing),rnb,5lA3pwMkBdd24StM90QrNR,0.888,0.815,11,-4.909,0,0.0404,0.23,0.000424,0.127,0.961,127.273,238733,4
248, Cam’ron Juelz Santana Freekey Zeekey Toya,Hey Ma,rnb,2vN5Hb3lVKRHj0LzBvafzo,0.783,0.67,8,-5.049,1,0.372,0.0321,2.34e-06,0.362,0.956,90.359,220960,4
249, Fat Joe Remy Ma French Montana InfaRed,All The Way Up,rnb,7Ezwtgfw7khBrpvaNPtMoT,0.414,0.807,10,-4.12,0,0.348,0.0428,0.0,0.822,0.409,175.158,191901,4
250, Fabolous Tamia,Into You (feat. Tamia),rnb,0yHConG49418wPs8UfAt44,0.546,0.538,7,-7.886,0,0.0523,0.233,0.0,0.118,0.58,182.12,295773,4
251, Mase Total,What You Want (feat. Total),rnb,2nqVVwUI2MJ7MaphpCF1P3,0.88,0.726,10,-5.855,0,0.257,0.0218,7.66e-05,0.389,0.823,93.814,271213,4
252, Mase,Welcome Back,rnb,2XQY54Im8VrO4sd2tAmiv4,0.764,0.742,1,-2.33,1,0.18,0.0111,8.46e-05,0.321,0.504,88.437,262200,4
253, Mase,Feel so Good,rnb,7hfRrdFJgFKK3cJ4rmkecE,0.821,0.703,11,-8.464,0,0.24,0.192,0.0,0.0816,0.536,105.154,203627,4
254, Diddy Black Rob Mark Curry,Bad Boy for Life,rnb,2eOuL8KesslTLQERQPu11D,0.669,0.829,1,-3.801,1,0.49,0.179,0.0,0.241,0.61,118.934,253067,4
255, Diddy 112 Faith Evans,I'll Be Missing You (feat. Faith Evans & 112) - 2014 Remaster,rnb,1yy2DlSDtEt90d54rPDPXz,0.833,0.619,7,-5.595,1,0.0538,0.111,2.13e-05,0.159,0.901,109.92,306560,4
256, J. Cole,Motiv8,rnb,1AT4xjNarTswd0UZ5FlmKF,0.869,0.385,4,-7.801,1,0.297,0.135,0.0,0.0931,0.596,149.897,133922,4
257, J. Cole,Neighbors,rnb,0utlOiJy2weVl9WTkcEWHy,0.898,0.283,6,-12.335,0,0.356,0.319,0.000383,0.11,0.469,138.97,216520,4
258, J. Cole,G.O.M.D.,rnb,16qYlQ6koFxYVbiJbGHblz,0.89,0.393,4,-10.821,0,0.267,0.331,8.81e-06,0.283,0.304,128.084,301133,4
259, J. Cole,Wet Dreamz,rnb,6Ius4TC0L3cN74HT7ENE6e,0.517,0.705,6,-8.205,0,0.364,0.0751,0.0,0.128,0.584,175.906,239320,4
260, J. Cole,KOD,rnb,7yotKA30dwTKNEGomV9ZsI,0.823,0.783,0,-6.274,1,0.154,0.21,0.0,0.113,0.199,141.882,191437,4
261, J. Cole,No Role Modelz,rnb,62vpWI1CHwFy7tMIcSStl8,0.692,0.521,10,-8.465,0,0.33,0.301,0.0,0.0565,0.463,100.45,292987,4
262, Kanye West Gucci Mane Big Sean 2 Chainz Travis Scott Yo Gotti Quavo Desiigner,Champions,rnb,2nBI3iWLhupR7LyAJ5GGkE,0.692,0.774,6,-2.48,0,0.0876,0.0623,0.0,0.873,0.349,134.952,334253,4
263, Big Sean E-40,I Don't Fuck With You,rnb,7FYH5AW3bVfZHJIQpq3UOA,0.824,0.733,1,-5.474,1,0.0613,0.0362,0.0,0.325,0.395,97.972,284387,4
264, SOB X RBE,Paramedic!,rnb,2tPcTFiQF9MbVUyjZ3zDhA,0.856,0.652,1,-5.324,1,0.143,0.177,0.0,0.193,0.471,97.017,219307,4
265, ScHoolboy Q 2 Chainz Saudi,X (with 2 Chainz & Saudi),rnb,4LmAnpjlhWTahvRkYR8xJa,0.768,0.471,2,-8.406,1,0.259,0.0201,0.0,0.268,0.405,131.023,267427,4
266, Kendrick Lamar Travis Scott,Big Shot (with Travis Scott),rnb,5cXg9IQS34FzLVdHhp7hu7,0.855,0.478,1,-9.116,1,0.193,0.00759,0.0,0.101,0.284,130.018,221827,4
267, Kendrick Lamar,King Kunta,rnb,0N3W5peJUQtI4eyR6GJT5O,0.884,0.657,6,-4.569,0,0.0977,0.00589,0.0,0.154,0.489,107.059,234693,4
268, Cardi B Migos,Drip (feat. Migos),rnb,2qcG0nZ6S3zZV0UrkY5nFo,0.968,0.589,11,-7.808,1,0.255,0.0511,0.0,0.0731,0.268,129.993,262308,4
269, Cardi B,Money,rnb,2GGMabyHXnJmjY6CXhhB2e,0.95,0.59,8,-6.508,0,0.29,0.00534,0.0,0.11,0.219,130.003,183527,4
270, Ty Dolla $ign YG,Ex (feat. YG),rnb,1Mb187X5w3OUQNH6P5M28Y,0.77,0.426,5,-5.717,0,0.0473,0.0116,0.0,0.273,0.523,102.056,163133,4
271, YG Jeezy Rich Homie Quan,My Nigga,rnb,02pf9lLM8Nb8l4u4ts1GWb,0.673,0.464,10,-6.864,0,0.201,0.0933,0.0,0.21,0.762,171.043,235600,4
272, YG 2 Chainz Big Sean Nicki Minaj,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",rnb,0ZNrc4kNeQYD9koZ3KvCsy,0.745,0.346,1,-7.709,1,0.331,0.00552,0.0,0.0881,0.112,203.911,237240,4
273, Chris Brown,Liquor,rnb,5u7o3wXWJI7AN1b9KIf3m8,0.686,0.342,5,-8.555,0,0.0447,0.0212,0.0,0.111,0.429,104.995,224907,4
274, Chris Brown,Back To Sleep,rnb,6dlpABcXrQKRU9G00i6Zba,0.647,0.646,9,-5.483,0,0.243,0.0424,0.0,0.0888,0.721,92.981,201253,4
275, Chris Brown Solo Lucci,Wrist (feat. Solo Lucci),rnb,3sHPSPSfMzziQD1v6U6vz0,0.758,0.388,3,-8.338,0,0.154,0.489,0.0,0.239,0.518,106.152,194587,4
276, T.I. Meek Mill,Jefe (feat. Meek Mill),rnb,1vw4TJRXkLuuJUtwh4UbYD,0.71,0.826,2,-5.197,1,0.295,0.0808,0.0,0.738,0.735,127.947,204053,4
277, T.I.,Whatever You Like,rnb,1IAzD1muglOxOcPbUHs70R,0.68,0.687,9,-6.162,0,0.0709,0.0161,0.0,0.261,0.467,150.053,249533,4
278, Blu Cantrell Sean Paul,Breathe (feat. Sean Paul) - Rap Version,rnb,1BPybPVkDfUjFDvqG04l58,0.8,0.663,2,-3.832,1,0.0324,0.048,0.0,0.252,0.472,91.934,228000,4
279, TLC,No Scrubs,rnb,2R5M5yS36iLE32UD4CThlS,0.743,0.58,8,-6.956,0,0.0945,0.0293,0.00081,0.0583,0.594,92.897,215347,4
280, Craig David,Fill Me In,rnb,0UzsDmdpw0Q14KU4hieQss,0.683,0.748,8,-6.981,1,0.0366,0.373,0.00881,0.06,0.828,132.486,257200,4
281, Fugees,Killing Me Softly With His Song,rnb,0Q0IVlqMV64kNLlwjPj0Hl,0.765,0.29,4,-17.117,0,0.139,0.0279,1.02e-06,0.571,0.506,92.409,298773,4
282, Mario,Let Me Love You,rnb,5WphWTUIfRe7x8NZss79cY,0.622,0.593,7,-8.352,0,0.0916,0.163,0.0,0.0979,0.607,94.364,249093,4
283," Donell Jones Lisa ""Left Eye"" Lopes","U Know What's Up (feat. Lisa ""Left Eye"" Lopes)",rnb,5PMKzsUsTpZZGsCcJBuhP2,0.854,0.543,8,-6.166,0,0.0844,0.0402,5.73e-05,0.0419,0.868,103.032,243733,4
284, Montell Jordan,This Is How We Do It,rnb,443VARdacv4KDvymFkZ8Mt,0.788,0.702,1,-7.331,1,0.0652,0.0177,0.0,0.42,0.774,103.654,237547,4
285, Jazmine Sullivan,Bust Your Windows,rnb,56z2qI0gKcPthQF6l8AW3E,0.683,0.664,5,-4.233,0,0.0332,0.538,0.0,0.0671,0.866,106.991,266307,4
286, Joe Mystikal Allen Gordon,Stutter (feat. Mystikal) - Double Take Remix,rnb,7FWuzwapuKHTEyDJIcQOw3,0.767,0.759,6,-6.516,1,0.117,0.0513,0.0,0.31,0.677,89.989,213027,4
287, Mariah Carey Ol' Dirty Bastard,Fantasy - Feat. O.D.B.,rnb,0iqGkQyaeryW2lVkwLgrVa,0.837,0.616,2,-7.638,1,0.111,0.0398,0.0,0.0337,0.809,102.497,290200,4
288, Craig David,What's Your Flava? - Radio Edit,rnb,7rVBmwJsClMU6vOlggk5Ad,0.836,0.806,5,-4.837,0,0.12,0.0646,0.0,0.193,0.892,108.118,215960,4
289, Mark Morrison,Return of the Mack,rnb,3jDdpx9PMlfMBS5tOBHFm9,0.715,0.833,2,-5.379,1,0.108,0.00631,0.0,0.164,0.612,95.487,213093,4
290, Blackstreet Dr. Dre Queen Pen,No Diggity,rnb,0BSUsLKmtxKWFckXM4CVTH,0.869,0.63,1,-4.703,0,0.206,0.334,0.0,0.117,0.678,88.671,305573,4
291, Ginuwine,Pony,rnb,07bbJiXbkhMurH0wkuPYer,0.545,0.647,8,-8.079,0,0.284,0.0068,0.000904,0.503,0.957,142.026,324800,4
292, Sean Kingston,Beautiful Girls,rnb,1hGy2eLcmC8eKx7qr1tOqx,0.762,0.661,1,-6.075,0,0.0687,0.15,0.0,0.256,0.769,130.009,225373,4
296, Chris Brown Juelz Santana,Run It! (feat. Juelz Santana),rnb,7xYnUQigPoIDAMPVK79NEq,0.846,0.482,1,-6.721,0,0.129,0.0246,0.0,0.393,0.212,100.969,229867,4
297, *NSYNC,Girlfriend,rnb,5TxdQaqp2Xn9IBTlfq26l7,0.745,0.807,0,-5.191,0,0.0884,0.0887,1.49e-05,0.0283,0.858,93.967,253600,4
298, Ciara Justin Timberlake,Love Sex Magic (feat. Justin Timberlake),rnb,7xdmTEHRbgQuLR8KpRLLnn,0.893,0.665,1,-5.07,1,0.137,0.0201,0.0,0.299,0.874,107.029,219568,4
299, Usher Lil Jon Ludacris,Yeah! (feat. Lil Jon & Ludacris),rnb,0utLWSIbolqT7KyppMuxKY,0.645,0.787,2,-4.732,1,0.26,0.0199,0.0,0.0418,0.553,105.043,250373,4
300, Will Smith,Gettin' Jiggy Wit It,rnb,34zDaLPlTCiWy9sHNKOM2s,0.877,0.885,6,-4.021,1,0.151,0.0189,1.6e-06,0.178,0.839,107.881,228733,4
301, Chris Brown,Yo (Excuse Me Miss),rnb,7DFnq8FYhHMCylykf6ZCxA,0.536,0.612,4,-5.847,1,0.272,0.119,0.0,0.209,0.57,86.768,229040,4
302, Beyoncé,All Night,rnb,7oAuqs6akGnPU3Tb00ZmyM,0.574,0.573,11,-7.079,1,0.085,0.392,2.16e-05,0.0933,0.626,136.304,322000,4
303, Destiny's Child,"Independent Women, Pt. 1",rnb,69XUpOpjzDKcfdxqZebGiI,0.73,0.602,6,-3.782,0,0.206,0.362,3.69e-06,0.169,0.927,97.954,221133,4
304, Janet Jackson,All For You,rnb,5X8kkUaUlAyAUr9TYqDFTH,0.753,0.934,2,-3.011,1,0.0736,0.0174,0.065,0.128,0.73,113.525,329933,3
305, Ne-Yo,So Sick,rnb,5203pcq3cNteJuOVhIEnt6,0.572,0.572,6,-8.324,1,0.3,0.254,0.0,0.191,0.61,94.897,207187,4
306, 50 Cent Nate Dogg,21 Questions,rnb,6u68nH5R3hyc94XImtFDfc,0.608,0.821,6,-3.939,0,0.337,0.356,0.00029,0.0464,0.896,84.53,224427,4
307, B2K Diddy,"Bump, Bump, Bump (feat. P. Diddy)",rnb,74jMwg2zsFMICzW3Wems6h,0.833,0.681,1,-6.028,0,0.215,0.0956,0.0,0.0414,0.887,95.48,282533,4
308, Toni Braxton,He Wasn't Man Enough,rnb,7f1Dmr246cJ9uQYdbplTbh,0.739,0.947,11,-1.915,0,0.0412,0.00947,2.99e-05,0.326,0.763,88.009,261933,4
309, Whitney Houston,It's Not Right But It's Okay,rnb,7861kBrZ5aw7o4NfggcyYW,0.806,0.802,1,-7.076,1,0.102,0.162,0.000885,0.0698,0.529,127.931,292400,4
310, Jennifer Lopez Ja Rule,I'm Real (feat. Ja Rule) - Murder Remix,rnb,6MLsahMK3VvH9NUwXOktdS,0.708,0.587,11,-7.93,0,0.151,0.273,0.0,0.0718,0.554,83.46,262133,4
311, Bryson Tiller,Exchange,rnb,43PuMrRfbyyuz4QpZ3oAwN,0.525,0.433,6,-10.598,1,0.185,0.107,0.0,0.135,0.276,160.108,194613,4
315, Beyoncé,Single Ladies (Put a Ring on It),rnb,557un1HgwYMuqfWGSTmnxw,0.426,0.584,1,-5.293,1,0.296,0.0383,0.0,0.192,0.272,193.438,192587,4
316, Jennifer Hudson,Spotlight,rnb,02QQXgeAghpU4smdM7l7We,0.707,0.724,11,-3.887,0,0.051,0.0448,0.0,0.072,0.659,108.984,250107,4
317, SWV,Right Here - Human Nature Radio Mix,rnb,7tUEDtHchueeUJTfEFEhii,0.615,0.72,9,-5.16,0,0.0658,0.068,0.0105,0.0889,0.696,94.002,226947,4
318, Shaggy Rik Rok,It Wasn't Me,rnb,3ZiCDLNyq73LLlbn0oIvTR,0.852,0.602,0,-4.594,1,0.0659,0.0481,0.0,0.331,0.66,94.749,227560,4
319, Destiny's Child,"Bills, Bills, Bills",rnb,1Oi2zpmL81Q0yScF1zxaC0,0.845,0.576,11,-5.15,0,0.153,0.139,0.0,0.0764,0.461,127.641,256027,4
320, Miguel,How Many Drinks?,rnb,4LiQ8uAynrXFWY0vimnAa1,0.379,0.608,0,-7.011,0,0.134,0.00311,0.000614,0.251,0.241,81.734,272947,4
321, Luther Vandross,So Amazing,rnb,2BABTeUx608FA8b47bDuLK,0.625,0.312,6,-14.797,1,0.0334,0.655,0.000181,0.287,0.319,128.575,222547,4
322, Kelis,Milkshake,rnb,2cMTIlktg3M9mXYqCPqw1J,0.881,0.774,1,-6.068,1,0.0439,0.00986,0.0346,0.206,0.759,112.968,182627,4
331, Kanye West Jamie Foxx,Gold Digger,rnb,3QHPHLAkYV5cQBUYs6rowx,0.629,0.696,1,-5.572,0,0.348,0.0195,0.0,0.0554,0.623,93.034,207627,4
332, The Notorious B.I.G. Mase Diddy,Mo Money Mo Problems (feat. Puff Daddy & Mase) - 2014 Remaster,rnb,4INDiWSKvqSKDEu7mh8HFz,0.845,0.884,6,-4.506,0,0.0759,0.0128,2.1e-06,0.203,0.904,104.536,257400,4
333, Nelly Kelly Rowland,Dilemma (feat. Kelly Rowland),rnb,4dT9hufVCCRrv3qW3RR3mj,0.734,0.521,2,-9.385,0,0.189,0.183,7.68e-06,0.169,0.61,168.113,289693,4
