,Artiste,Titre,Année,Rang,id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
660,beyonce,best thing i never had,2011,85,3lBRNqXjPp2j3JMTCXDTNO,72,0.545,0.649,6,-4.062,1,0.0324,0.143,1.57e-05,0.0894,0.297,99.099,253747,4
661,jason derulo,don't wanna go home,2011,86,1Q7ghSdJsLv1o9tnsNAS9D,0,0.671,0.808,2,-4.86,0,0.0651,0.0199,0.0,0.134,0.637,121.953,206080,4
662,david guetta ring flo rida  nicki minaj,where them girls at,2011,87,63rbP24OzfaQCJjsHWZXnY,62,0.664,0.872,3,-3.117,1,0.0396,0.0306,0.0,0.228,0.555,129.873,210093,4
663,chris brown,she ain't you,2011,88,3dhvQUA0NyrAea4vQ7X6Gn,58,0.634,0.716,2,-6.502,1,0.128,0.0341,0.0,0.0877,0.619,91.039,248107,4
664,rodney atkins,take a back road,2011,89,7B6m8tHAYZsOKOKMU5SR2n,67,0.581,0.856,3,-4.0,1,0.0783,0.183,0.0,0.0871,0.918,169.902,209427,4
665,mike posner,please don't go,2011,90,6jg5SRvdGxvJ0DzNV0UqEK,60,0.699,0.882,4,-3.896,0,0.0311,0.00296,0.0544,0.13,0.657,120.016,196813,4
666,miguel,sure thing,2011,91,0JXXNGljqupsJaZsgSbMZV,75,0.684,0.603,11,-8.127,0,0.0989,0.0275,0.000311,0.191,0.504,81.0,195373,4
667,jessie j ring b o b,price tag,2011,92,5mvKuE9Lf9ARVXVXA32kK9,61,0.638,0.831,5,-3.944,1,0.182,0.0281,3.06e-06,0.277,0.685,175.038,223053,4
668,blake shelton,god gave me you,2011,93,0w9LJae3sVlZlH2CnxTInF,65,0.483,0.844,2,-5.043,1,0.0314,0.00481,7.29e-05,0.405,0.543,151.977,229533,4
669,lil wayne ring drake,she will,2011,94,2pLTCUzYB6ANkeNQjpXI8y,28,0.364,0.841,8,-4.831,1,0.119,0.000402,0.0,0.242,0.0841,100.14,305840,5
