,Artiste,Titre,Année,Rang,id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
108,crow sheryl,all i wanna do,1995,46,1Y2q5kO7J7qMONanpkJ69j,0,0.807,0.761,9,-4.915,1,0.0306,0.139,0.000842,0.295,0.917,120.101,272867,4
109,nightcrawlers,surrender your love,1995,47,6ydsGIVXGqo4kXvgASZjbz,36,0.805,0.598,8,-9.408,0,0.0352,0.00204,0.00261,0.0888,0.923,122.303,227773,4
110,ace of base,lucky love,1995,48,2O5MugeVVDlVs4ThMCy1Lm,41,0.769,0.662,5,-7.238,1,0.0319,0.129,0.00102,0.0814,0.863,104.104,175747,4
111,20 fingers  roula,lick it,1995,49,2828IPGCeOSUFmh1zpKK4U,54,0.809,0.876,0,-7.681,1,0.0478,0.000273,0.642,0.189,0.757,126.964,215093,4
112,rednex,cotton eye joe,1995,50,06hsdMbBxWGqBO0TV0Zrkf,70,0.729,0.936,9,-7.536,1,0.0776,0.0129,0.000892,0.0367,0.598,131.986,194000,4
113,masterboy,generation of love,1995,53,7w2pLanh5woNiSsaRLufWe,49,0.658,0.889,6,-6.664,0,0.0538,0.0105,0.0,0.255,0.835,140.012,221533,4
114,e-type,this is the way,1995,54,2AY2bDUYhaCg1l0a0ZtRzh,28,0.598,0.926,0,-5.843,1,0.03,0.00544,0.0166,0.273,0.676,141.433,235973,4
115,jackson michael,earth song,1995,55,4GCGH6TJ69neckwITeBFXK,63,0.501,0.439,3,-7.521,0,0.0313,0.482,0.000117,0.087,0.145,138.377,406040,4
117,michael jackson,earth song,1996,72,4GCGH6TJ69neckwITeBFXK,63,0.501,0.439,3,-7.521,0,0.0313,0.482,0.000117,0.087,0.145,138.377,406040,4
119,east 17,stay another day,1995,57,4wYCe9tSmUolNU4WmJKbZy,56,0.524,0.489,2,-7.828,1,0.0274,0.578,0.000624,0.186,0.443,127.768,267133,4
120,vincent francky,fruit de la passion,1995,58,2THUeP0bmT7Vgm58ZnsChY,48,0.81,0.937,2,-5.26,1,0.048,0.178,0.000486,0.294,0.926,101.991,238308,4
121,jackson michael  jackson janet,scream,1995,59,46576CnmgT6xr0RaZNF2Kt,61,0.782,0.966,0,-3.894,1,0.115,0.0991,1.1e-05,0.251,0.542,106.529,277960,4
122,warren g  nate,regulate,1995,60,7nYvUtkQMx1v80S2FH2s9J,74,0.849,0.521,11,-12.999,0,0.216,0.304,1.65e-06,0.115,0.763,95.265,248867,4
123,brownstone,if you love me,1995,63,0BTGqPIW9acmhhUmENkq5r,62,0.687,0.583,7,-10.224,1,0.064,0.224,0.0,0.106,0.21,95.137,303903,4
124,davis debbie,l'histoire de la vie,1995,64,4cbs7fuf3K06To0WcLiIY6,47,0.456,0.535,10,-9.694,1,0.0381,0.0584,0.0,0.414,0.568,83.912,239067,4
125,corona,try me out,1995,65,2QbuqnxPaHCsYnlbAZDxvV,47,0.753,0.77,7,-8.655,0,0.035,0.0489,0.000397,0.251,0.558,130.977,206880,4
126,lennox annie,a whiter shade of,1995,66,11Mkoen07pKwyDqHiFnVU9,63,0.521,0.583,0,-8.451,1,0.0274,0.399,0.00174,0.347,0.353,146.009,316760,4
127,queen,heaven for everyone,1995,67,3Klfd4rsRO53fYpxmdQmYV,59,0.593,0.425,0,-9.775,1,0.0288,0.29,1.34e-06,0.167,0.268,110.208,336160,4
128,offspring the,come out and play,1995,69,0Yb5Kfpf3boElZNa61wPdJ,68,0.476,0.856,7,-3.764,1,0.161,0.0535,6.75e-06,0.0846,0.847,158.671,197800,4
129,offspring the,self esteem,1995,70,6EsBn1Md8C5YdbCzvwvZq8,73,0.458,0.912,5,-3.666,1,0.0618,0.0175,0.0,0.363,0.611,104.526,257760,4
130,red axelle,je t'attends,1995,71,6kYle4kd0FRjQYILF6rupn,29,0.71,0.307,9,-13.996,0,0.0319,0.67,4.17e-05,0.108,0.35,119.994,215693,4
131,dr dre,keep their heads ringing (extrait de la b o f  'friday'),1995,72,1rylJ0VXvhOzLGNm401iaI,61,0.671,0.737,0,-5.131,1,0.108,0.0338,0.00344,0.0596,0.197,90.519,310227,4
132,scooter,move your ass,1995,74,6URIg8HunaBwBOZb8ymmwW,50,0.508,0.981,7,-4.151,0,0.107,0.00133,0.000142,0.411,0.186,160.921,234767,4
