,Artiste,Titre,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
774,Dany Brillant,Les parfums de l'Orient,4xF36jMGTXRQHmPIFgcStm,0.58,0.722,10,-7.457,1,0.0363,0.204,0.000877,0.211,0.96,169.907,230467,4
775,Daphnemuz Mcgees,It Back Home,4gBU7v10hBFhYZTodSt8QM,0.499,0.0823,11,-18.005,1,0.0706,0.875,0.0,0.127,0.353,136.224,191155,4
776,Daphne Willis,Do It Like This,663uroxaoZPo9nuZYGibBA,0.885,0.663,11,-7.712,1,0.0865,0.000516,0.378,0.0724,0.719,115.962,161379,4
777,Daphnemuz Mcgees,What Mommas Do,3vWXAkmHhlusKfykoYU2lq,0.43,0.134,8,-18.318,1,0.038,0.868,1.14e-06,0.0954,0.238,149.383,234336,4
778,Daran Et Les Chaises,Dormir dehors,4espeCINwK5FPrUvml7p1U,0.583,0.625,4,-10.011,0,0.028,0.011,1.17e-06,0.272,0.491,108.527,223693,4
779,Daran Et Les Chaises,Olivia,3gXHQ5UDZX7bfLE5jymZem,0.303,0.601,5,-9.195,1,0.0402,0.0383,4.76e-05,0.108,0.316,164.055,226960,4
780,Daran Et Les Chaises,Du vent,2U0AFesGgWwBqtybIZSptK,0.531,0.623,9,-12.472,1,0.0339,0.0284,0.00423,0.0981,0.566,164.066,361200,4
781,Dave Stewart,Lily Was Here (feat. Candy Dulfer),5HVqftYQ37bJx3y0SI4obk,0.743,0.564,4,-10.698,0,0.0277,0.398,0.0485,0.0802,0.967,108.027,260200,4
782,Dave Stewart,Storm Came,4p1v9sQlYc8WXeYNAK33iW,0.322,0.519,8,-7.764,1,0.0385,0.0803,0.0,0.366,0.187,184.071,138546,4
783,Dave Stewart,I Know How You Feel,2y6i0SqujGvBIU8CdsIQDz,0.454,0.506,6,-10.104,1,0.0377,0.419,0.000136,0.212,0.058,81.931,155864,4
784,David Bowie,Rebel Rebel - 2016 Remaster,2EC9IJj7g0mN1Q5VrZkiYY,0.635,0.686,9,-15.648,1,0.053,0.209,0.0176,0.282,0.464,125.988,274747,4
785,David Bowie,Heroes - 2017 Remaster,7Jh1bpe76CNTCgdgAdBw4Z,0.49,0.758,7,-6.491,1,0.0297,0.000671,0.484,0.092,0.435,112.114,371413,4
